environment,intersection_id,city,city_label,topology,lane_profile,risk_level,day_index,time_window,arrival_demand,exit_lane_capacity,queue_length,overflow_count,overflow_duration_seconds,speed_kmh,throughput,stop_frequency,average_delay_seconds,safety_violation_rate,phase_switch_timing_error_seconds
sumo,city1_i04,city_1,City 1,4way,mild_imbalance,medium,7,pm_peak,900.0,3140.0,1249.3047,857.0,857.0,9.1331,785.0,0.806,181.3541,0.24,0.5614
sumo,city1_i04,city_1,City 1,4way,mild_imbalance,medium,7,evening,900.0,3140.0,1249.3047,857.0,857.0,9.1331,785.0,0.806,181.3541,0.24,0.5432
sumo,city1_i05,city_1,City 1,4way,severe_imbalance,high,1,am_peak,900.0,2956.0,1480.9824,859.0,859.0,8.2542,739.0,1.0725,241.3234,0.24,0.5169
sumo,city1_i05,city_1,City 1,4way,severe_imbalance,high,1,midday,900.0,2956.0,1480.9824,859.0,859.0,8.2542,739.0,1.0725,241.3234,0.24,0.4685
sumo,city1_i05,city_1,City 1,4way,severe_imbalance,high,1,pm_peak,900.0,2956.0,1480.9824,859.0,859.0,8.2542,739.0,1.0725,241.3234,0.24,0.5603
sumo,city1_i05,city_1,City 1,4way,severe_imbalance,high,1,evening,900.0,2956.0,1480.9824,859.0,859.0,8.2542,739.0,1.0725,241.3234,0.24,0.498
sumo,city1_i05,city_1,City 1,4way,severe_imbalance,high,2,am_peak,900.0,2956.0,1480.9824,859.0,859.0,8.2542,739.0,1.0725,241.3234,0.24,0.5322
sumo,city1_i05,city_1,City 1,4way,severe_imbalance,high,2,midday,900.0,2956.0,1480.9824,859.0,859.0,8.2542,739.0,1.0725,241.3234,0.24,0.4582
sumo,city1_i05,city_1,City 1,4way,severe_imbalance,high,2,pm_peak,900.0,2956.0,1480.9824,859.0,859.0,8.2542,739.0,1.0725,241.3234,0.24,0.5421
sumo,city1_i05,city_1,City 1,4way,severe_imbalance,high,2,evening,900.0,2956.0,1480.9824,859.0,859.0,8.2542,739.0,1.0725,241.3234,0.24,0.5654
sumo,city1_i05,city_1,City 1,4way,severe_imbalance,high,3,am_peak,900.0,2956.0,1480.9824,859.0,859.0,8.2542,739.0,1.0725,241.3234,0.24,0.5106
sumo,city1_i05,city_1,City 1,4way,severe_imbalance,high,3,midday,900.0,2956.0,1480.9824,859.0,859.0,8.2542,739.0,1.0725,241.3234,0.24,0.4907
sumo,city1_i05,city_1,City 1,4way,severe_imbalance,high,3,pm_peak,900.0,2956.0,1480.9824,859.0,859.0,8.2542,739.0,1.0725,241.3234,0.24,0.5229
sumo,city1_i05,city_1,City 1,4way,severe_imbalance,high,3,evening,900.0,2956.0,1480.9824,859.0,859.0,8.2542,739.0,1.0725,241.3234,0.24,0.5299
sumo,city1_i05,city_1,City 1,4way,severe_imbalance,high,4,am_peak,900.0,2956.0,1480.9824,859.0,859.0,8.2542,739.0,1.0725,241.3234,0.24,0.4541
sumo,city1_i05,city_1,City 1,4way,severe_imbalance,high,4,midday,900.0,2956.0,1480.9824,859.0,859.0,8.2542,739.0,1.0725,241.3234,0.24,0.5408
sumo,city1_i05,city_1,City 1,4way,severe_imbalance,high,4,pm_peak,900.0,2956.0,1480.9824,859.0,859.0,8.2542,739.0,1.0725,241.3234,0.24,0.5673
sumo,city1_i05,city_1,City 1,4way,severe_imbalance,high,4,evening,900.0,2956.0,1480.9824,859.0,859.0,8.2542,739.0,1.0725,241.3234,0.24,0.5659
sumo,city1_i05,city_1,City 1,4way,severe_imbalance,high,5,am_peak,900.0,2956.0,1480.9824,859.0,859.0,8.2542,739.0,1.0725,241.3234,0.24,0.4947
sumo,city1_i05,city_1,City 1,4way,severe_imbalance,high,5,midday,900.0,2956.0,1480.9824,859.0,859.0,8.2542,739.0,1.0725,241.3234,0.24,0.5643
sumo,city1_i05,city_1,City 1,4way,severe_imbalance,high,5,pm_peak,900.0,2956.0,1480.9824,859.0,859.0,8.2542,739.0,1.0725,241.3234,0.24,0.5481
sumo,city1_i05,city_1,City 1,4way,severe_imbalance,high,5,evening,900.0,2956.0,1480.9824,859.0,859.0,8.2542,739.0,1.0725,241.3234,0.24,0.4827
sumo,city1_i05,city_1,City 1,4way,severe_imbalance,high,6,am_peak,900.0,2956.0,1480.9824,859.0,859.0,8.2542,739.0,1.0725,241.3234,0.24,0.5848
sumo,city1_i05,city_1,City 1,4way,severe_imbalance,high,6,midday,900.0,2956.0,1480.9824,859.0,859.0,8.2542,739.0,1.0725,241.3234,0.24,0.5015
sumo,city1_i05,city_1,City 1,4way,severe_imbalance,high,6,pm_peak,900.0,2956.0,1480.9824,859.0,859.0,8.2542,739.0,1.0725,241.3234,0.24,0.5737
sumo,city1_i05,city_1,City 1,4way,severe_imbalance,high,6,evening,900.0,2956.0,1480.9824,859.0,859.0,8.2542,739.0,1.0725,241.3234,0.24,0.5429
sumo,city1_i05,city_1,City 1,4way,severe_imbalance,high,7,am_peak,900.0,2956.0,1480.9824,859.0,859.0,8.2542,739.0,1.0725,241.3234,0.24,0.5035
