method,intersection_id,city,topology,lane_profile,risk_level,overflow_count,overflow_duration_minutes,overflow_switch_success,throughput,stop_frequency,average_delay_seconds,safety_violation_rate,setting,setting_description
default_sim,city2_i04,city_2,3way,mild_imbalance,medium,15462.2242,260.3958,0.5482,12061.4843,0.1097,25.1685,0.2707,V2,heavier vehicle dynamics
calibrated_sim_plus_domain_randomization_plus_opm,city2_i04,city_2,3way,mild_imbalance,medium,8265.4505,141.7578,0.8651,12902.4862,0.0914,20.4316,0.1157,V2,heavier vehicle dynamics
default_sim,city3_i01,city_3,4way,balanced,medium,28606.2909,482.3862,0.5364,23436.3651,0.7252,166.4776,0.2707,V2,heavier vehicle dynamics
calibrated_sim_plus_domain_randomization_plus_opm,city3_i01,city_3,4way,balanced,medium,15268.9759,261.5225,0.8624,25095.6888,0.6051,135.1942,0.1151,V2,heavier vehicle dynamics
default_sim,city3_i02,city_3,4way,mild_imbalance,medium,28346.2867,480.1828,0.5387,21045.1164,0.8591,197.2335,0.2707,V2,heavier vehicle dynamics
calibrated_sim_plus_domain_randomization_plus_opm,city3_i02,city_3,4way,mild_imbalance,medium,15005.9666,260.0731,0.8629,22523.6056,0.7176,160.3765,0.1162,V2,heavier vehicle dynamics
default_sim,city3_i03,city_3,3way,balanced,low,2046.9891,34.88,0.553,12071.1236,0.0669,15.2614,0.2707,V2,heavier vehicle dynamics
calibrated_sim_plus_domain_randomization_plus_opm,city3_i03,city_3,3way,balanced,low,1047.4614,18.3299,0.8662,12936.4166,0.0553,12.3536,0.109,V2,heavier vehicle dynamics
default_sim,city3_i04,city_3,4way,mild_imbalance,medium,28069.3547,477.8359,0.5387,21045.1164,0.8591,197.2335,0.2707,V2,heavier vehicle dynamics
calibrated_sim_plus_domain_randomization_plus_opm,city3_i04,city_3,4way,mild_imbalance,medium,15130.1787,261.1454,0.8629,22523.6056,0.7176,160.3765,0.1162,V2,heavier vehicle dynamics
default_sim,city3_i05,city_3,4way,severe_imbalance,high,28556.5093,482.5243,0.536,19792.1095,1.1432,262.4537,0.2707,V2,heavier vehicle dynamics
calibrated_sim_plus_domain_randomization_plus_opm,city3_i05,city_3,4way,severe_imbalance,high,16112.0828,274.9002,0.8623,21134.0905,0.9642,215.7362,0.1239,V2,heavier vehicle dynamics
default_sim,city3_i06,city_3,3way,balanced,low,2093.0354,35.269,0.553,12071.1236,0.0669,15.2614,0.2707,V2,heavier vehicle dynamics
calibrated_sim_plus_domain_randomization_plus_opm,city3_i06,city_3,3way,balanced,low,1044.5647,18.3047,0.8662,12936.4166,0.0553,12.3536,0.109,V2,heavier vehicle dynamics
default_sim,city3_i07,city_3,4way,balanced,medium,28440.7762,480.9835,0.5364,23436.3651,0.7252,166.4776,0.2707,V2,heavier vehicle dynamics
calibrated_sim_plus_domain_randomization_plus_opm,city3_i07,city_3,4way,balanced,medium,15137.3315,260.386,0.8624,25095.6888,0.6051,135.1942,0.1151,V2,heavier vehicle dynamics
default_sim,city3_i08,city_3,4way,mild_imbalance,medium,27943.083,476.7658,0.5387,21045.1164,0.8591,197.2335,0.2707,V2,heavier vehicle dynamics
calibrated_sim_plus_domain_randomization_plus_opm,city3_i08,city_3,4way,mild_imbalance,medium,14991.9859,259.9524,0.8629,22523.6056,0.7176,160.3765,0.1162,V2,heavier vehicle dynamics
default_sim,city3_i09,city_3,3way,mild_imbalance,medium,15271.2538,258.7774,0.5482,12064.0795,0.1097,25.1685,0.2707,V2,heavier vehicle dynamics
calibrated_sim_plus_domain_randomization_plus_opm,city3_i09,city_3,3way,mild_imbalance,medium,8162.8749,140.3263,0.8651,12911.621,0.0912,20.3882,0.1142,V2,heavier vehicle dynamics
default_sim,city3_i10,city_3,4way,balanced,medium,28314.858,479.9164,0.5364,23436.3651,0.7252,166.4776,0.2707,V2,heavier vehicle dynamics
calibrated_sim_plus_domain_randomization_plus_opm,city3_i10,city_3,4way,balanced,medium,14813.3261,257.5888,0.8624,25095.6888,0.6051,135.1942,0.1151,V2,heavier vehicle dynamics
default_sim,city3_i11,city_3,4way,balanced,low,28634.1283,482.6221,0.5364,23444.8046,0.7252,166.4776,0.2707,V2,heavier vehicle dynamics
calibrated_sim_plus_domain_randomization_plus_opm,city3_i11,city_3,4way,balanced,low,14573.3799,253.819,0.8624,25125.3957,0.6032,134.7134,0.1125,V2,heavier vehicle dynamics
default_sim,city3_i12,city_3,4way,mild_imbalance,medium,28153.4822,478.5488,0.5387,21045.1164,0.8591,197.2335,0.2707,V2,heavier vehicle dynamics
